Tappe cammino ,Cammino 2022,,,Cammino 2023,,,Cammino 2024,Cammino 2025
,1° settimana,2° settimana,3° settimana,1° settimana,2° settimana,3° settimana,04/09/24 Treviso - Quarto d'Altino,05/09/245 Rovigo - Vighizzolo d'Este
,27/08/22: Bassano del Grappa - Borso del Grappa,03/09/22 Belluno - Col Visentin ,10/09/22 Venezia - Sottomarina,26/08/23 Padova - Longare,02/09/23 Soave - San Buon Albergo,09/09/23 Peri - Bosco Chiesanuova,05/09/24 Quarto d'Altino - Jesolo ,06/09/25 Vighizzolo d'Este - Arquà Petrarca
,28/08/22 Borso del Grappa - Possagno,04/09/22 Col Visentin - Vittorio Veneto,11/09/22 Sottomarina - Frapiero,27//08/23 Longare - Barbarano,03/09/23 San Buon Albergo - Verona,10/09/23 Bosco Chiesanuova - Passo Pertica,06/09/24 Jesolo - Punta Sabbioni ,07/09/25 Arquà Petrarca - Abbazia di Praglia 
,29/08/22 Possagno - Castelli di Monfumo ,05/09/22 Vittorio Veneto - Conegliano,12/09/22 Frapiero - Bovolenta,28/08/23 Barbarano - Vicenza ,04/09/23 Verona - Bussolengo,11/09/23 Peasso Pertica - Valli del Pasubio ,07/09/24 Punta Sabbioni - Chioggia,08/09/25 Abbazia di Praglia - Teolo 
,30/08/22 Castelli di Monfumo - Santo Stefano di Valdobbiadene,06/09/22 Conegliano - Spresiano,13/09/22 Bovolenta - Montegrotto,29/08/23 Vicenza - Monteviale,05/09/23 Bussolengo - Lazise,12/09/23 Valli del Pasubio - Schio,08/09/24 Chioggia - Porto Viro ,09/09/25 Teolo - Noventa Vicentina
,31/08/22 Santo Stefano di Valdobbiadene - Cison di Valmarino,07/09/22 Spresiano - Treviso,14/09/22 Montegrotto - Arquà Petrarca,30/08/23 Monteviale - Montecchio Maggiore  ,06/09/23 Lazise - San Zeno di Montagna,13/09/23 Schio - Velo d'Astico,09/09/24 Porto Viro - Adria,10/09/25 Noventa Vicentina - Saline
,01/09/22 Cison di Valmarino - Sant'Antonio Tortal,08/09/22 Treviso - Mogliano Veneto,15/09/22 Arquà Petrarca - Teolo ,31/08/23 Montecchio Maggiore - Roncà  ,07/09/23 San Zeno di Montagna - Ferrara di Monte Baldo,14/09/23 Velo d?'Astico - Asiago,10/09/24 Adria - Fenil del Turco,11/09/25 Saline - Grancona
,02/09/22 Sant'Antonio Tortal - Belluno,09/09/22 Mogliano Veneto - Venezia,16/09/22 Teolo - Padova,01/09/23 Roncà - Soave,08/09/23 Ferrara di Monte Baldo - Peri,15/09/23 Asiago - Conco,11/09/24 Fenil del Turco - Rovigo,12/09/25 Grancona - Castegnero
,,,,,,16/09/23 Conco - Bassano del Grappa,,13/09/25 Castegnero - Brendola
,,,,,,,,14/09/25 Brendola - Vicenza
